Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
0.6326343465,0.0087619164,0,0,2,3,511
13.8030571118,0.0060302309,0,1,14,15,
87.6725045168,0.0071761076,0,1,4,5,
0.0744216235,0.0037937054,0,3,10,11,
32.5278796745,0.0065528066,0,3,6,7,
35.8095235673,0.0049912861,0,5,8,9,
54.0792429448,0.0049407183,0,5,12,13,
8.2332269121,0.0034742741,0,6,20,21,
40.9686484444,0.0040573623,0,6,24,25,
0.26250626,0.0029522118,0,4,22,23,
0.2823244632,0.0027947353,0,4,166,167,
0.0000143,0.0000289,1,7,,,
4.7137294017,0.0049407132,0,7,16,17,
0.205631837,0.0045943378,0,2,28,29,
0.0160866805,0.004545588,0,2,18,19,
26.3673890198,0.004458644,0,13,32,33,
4.5620831535,0.0027272049,0,13,116,117,
32.9082184888,0.0026675682,0,15,48,49,
23.294343133,0.0040214514,0,15,26,27,
0.0010848274,0.0000846,1,8,,,
10.2865192517,0.0034741453,0,8,34,35,
32.3012042092,0.0018884681,0,10,158,159,
0.610826427,0.0025193238,0,10,74,75,
0.0000458,0.0000403,1,9,,,
15.5391643114,0.0040573463,0,9,50,51,
0.000190359,0.0000508,1,19,,,
1.5012846232,0.0040214225,0,19,36,37,
0.0348780088,0.0038269576,0,14,70,71,
14.3479810209,0.0030758832,0,14,30,31,
0.001661666,0.0000869,1,29,,,
8.6474522691,0.0030757182,0,29,38,39,
0.0001080967,0.0000502,1,16,,,
7.2981427402,0.00445862,0,16,40,41,
15.0691516027,0.0009375161,1,21,,,
1.036675587,0.0034209668,0,21,106,107,
4.3140677683,0.0030935798,0,27,84,85,
15.3737600403,0.0030006953,0,27,80,81,
42.6797231267,0.0022782588,0,31,42,43,
28.080808946,0.0023819291,0,31,44,45,
15.149146315,0.0020583716,0,33,118,119,
0.3179594945,0.0041881752,0,33,46,47,
0.0000668,0.0000448,1,38,,,
4.8228682304,0.0022782092,0,38,52,53,
0.0001600417,0.0000534,1,39,,,
2.8645362829,0.0023818575,0,39,60,61,
15.0156766038,0.0033450965,0,41,54,55,
0.2768881618,0.0029879087,0,41,62,63,
1.6378798472,0.0023238369,0,18,200,201,
23.1092405497,0.0016296049,0,18,182,183,
0.2260133697,0.0030288567,0,25,58,59,
1.4728760027,0.003119919,0,25,78,79,
0.1514846728,0.0017610636,0,43,56,57,
13.0369388267,0.0016909893,0,43,146,147,
0.0000388,0.0000409,1,46,,,
1.0280210211,0.0033450744,0,46,86,87,
38.2636992522,0.0012556552,1,52,,,
23.3912404574,0.0014071647,0,52,68,69,
23.6399067186,0.0022696416,0,50,66,67,
2.627763303,0.0023208189,0,50,132,133,
43.849537296,0.0021359354,0,45,88,89,
9.6205703306,0.0013424471,0,45,394,395,
0.1760743499,0.002470797,0,47,64,65,
15.2004922633,0.0020250717,0,47,102,103,
30.655728591,0.0022102485,0,62,82,83,
5.7599740327,0.0014034159,0,62,298,299,
1.0187150553,0.0012001085,0,58,506,507,
1.0667049851,0.0020723977,0,58,104,105,
0.0010731989,0.0014056262,1,57,,,
13.5093505728,0.0001327032,1,57,,,
24.9718791258,0.0014297768,0,28,214,215,
1.869156417,0.0036928517,0,28,72,73,
0.5229805981,0.003314177,0,71,76,77,
28.5648175128,0.0020760999,0,71,110,111,
1.5703139518,0.0011140217,0,23,356,357,
9.3449742396,0.002382796,0,23,90,91,
11.3450730403,0.00242046,0,72,170,171,
0.359643593,0.0025981766,0,72,94,95,
6.6328638769,0.0029050325,0,51,152,153,
12.6362612718,0.0015116159,0,51,318,319,
12.6547713352,0.0024556501,0,37,114,115,
25.1196904331,0.0020677059,0,37,98,99,
0.0007940682,0.0000985,1,64,,,
4.5800763013,0.0022098778,0,64,148,149,
12.6964823718,0.0024681923,0,36,120,121,
14.2652320658,0.0022101414,0,36,100,101,
2.4029214899,0.0023773276,0,55,112,113,
1.5622342817,0.0026793554,0,55,230,231,
0.0000627,0.0000559,1,60,,,
0.4954527131,0.0021358406,0,60,196,197,
15.8195755953,0.0022973835,0,75,92,93,
15.9101902049,0.0008981138,1,75,,,
9.9808479748,0.0012279231,0,90,428,429,
12.9285663935,0.0020918763,0,90,108,109,
22.3984299648,0.0012979968,0,77,96,97,
28.9221604453,0.0024041083,0,77,138,139,
0.0010561294,0.0012973257,1,94,,,
44.1358581931,0.0000907,1,94,,,
0.0000487,0.0000411,1,81,,,
7.2518757484,0.0020676598,0,81,124,125,
0.0002615515,0.0000588,1,85,,,
10.8949009704,0.0022100395,0,85,210,211,
0.0001913778,0.0000664,1,63,,,
6.0810723549,0.0020249141,0,63,274,275,
18.0187234858,0.0016948574,0,67,212,213,
14.463433037,0.0014294743,0,67,418,419,
6.232508266,0.0033835047,0,35,126,127,
8.2630152853,0.0008084851,1,35,,,
4.9359445491,0.0012051984,0,93,140,141,
9.5240437054,0.0018625559,0,93,142,143,
0.0001540629,0.0000532,1,73,,,
2.341346965,0.0020760127,0,73,306,307,
4.9095061497,0.0017964828,0,86,232,233,
20.4365061572,0.0018068496,0,86,162,163,
33.2240643146,0.0016005132,0,80,128,129,
13.5729637005,0.002075896,0,80,180,181,
12.8600217905,0.0023218534,0,17,122,123,
2.014734382,0.0017528989,0,17,136,137,
4.711525461,0.0014779045,0,40,164,165,
10.3547228824,0.001635993,0,40,160,161,
2.0723634317,0.0013640734,0,84,144,145,
25.3467188223,0.0022265712,0,84,216,217,
0.0034801323,0.0001251719,1,116,,,
1.4409708063,0.0023212266,0,116,154,155,
32.2994413278,0.0017661584,0,99,242,243,
13.2013353799,0.0013200394,0,99,354,355,
20.5907868643,0.0026355834,0,106,130,131,
7.4803183978,0.0024897396,0,106,156,157,
0.0005801209,0.0000968,1,114,,,
11.5404187337,0.0015999365,0,114,502,503,
19.0976354065,0.0024555024,0,126,134,135,
7.366162157,0.0012730885,0,126,252,253,
1.8806020856,0.0021805069,0,59,220,221,
1.7978454352,0.0010700924,0,59,434,435,
2.1851741497,0.0013962283,0,130,272,273,
15.5044285245,0.0021958071,0,130,174,175,
7.2905363797,0.0014826647,0,117,310,311,
12.6987424836,0.0011412362,0,117,150,151,
10.0000017861,0.0021489202,0,95,190,191,
15.5822545302,0.0013688334,0,95,206,207,
0.0033324652,0.0001513247,1,108,,,
0.8392438227,0.0012025008,0,108,410,411,
3.4997951032,0.0015226889,0,109,292,293,
0.0619785543,0.001285448,0,109,452,453,
0.1806004189,0.0011854872,0,120,280,281,
10.5613647635,0.0008380749,1,120,,,
10.1322235793,0.0009874728,1,53,,,
1.2174825855,0.0014986305,0,53,270,271,
7.555326619,0.0010027246,1,83,,,
1.0400507684,0.0020817702,0,83,178,179,
0.0007541291,0.0011390822,1,137,,,
3.9541014927,0.0001338611,1,137,,,
19.1088179923,0.002525855,0,78,172,173,
2.0914181907,0.001782885,0,78,300,301,
14.9034739078,0.001608325,0,123,204,205,
7.2570502534,0.0018927347,0,123,168,169,
14.3685103782,0.0014195743,0,127,218,219,
11.9019529666,0.0022244516,0,127,186,187,
2.7590179532,0.0015139552,0,22,426,427,
18.5968984011,0.001340543,0,22,424,425,
3.1375004011,0.0008218739,1,119,,,
1.1736914468,0.001511974,0,119,250,251,
0.0001174569,0.0000683,1,113,,,
3.1970532667,0.0018066492,0,113,336,337,
6.1573064587,0.0009294644,1,118,,,
6.2545457133,0.0012713375,0,118,278,279,
1.072218148,0.0023512908,0,11,184,185,
4.1577203746,0.0018379688,0,11,260,261,
0.3527211244,0.0017625979,0,155,194,195,
7.2912607512,0.000916435,1,155,,,
0.5479149285,0.0023529786,0,76,176,177,
13.0172623952,0.0008270556,1,76,,,
2.619170695,0.0018427429,0,152,376,377,
10.8315313301,0.0019819408,0,152,222,223,
0.0017402521,0.0001337201,1,135,,,
2.5213746233,0.0021950031,0,135,188,189,
7.350723081,0.0015333059,0,170,322,323,
3.2353421978,0.0019892981,0,170,290,291,
9.6685444452,0.0018854398,0,149,352,353,
12.0240168461,0.0011347426,1,149,,,
0.012768004,0.0001663629,1,115,,,
0.2118726779,0.0020743855,0,115,340,341,
0.0002539357,0.0000715,1,49,,,
0.0644144375,0.0016293415,0,49,192,193,
0.4228565745,0.0021883182,0,166,208,209,
2.8178388749,0.0011419391,0,166,246,247,
0.0094965087,0.0016931037,0,157,350,351,
2.9964947471,0.0016784869,0,157,236,237,
14.6671994257,0.0019110298,0,175,256,257,
0.6193026532,0.0013428463,0,175,406,407,
13.0612957647,0.0009055705,1,138,,,
1.5094495863,0.0020461741,0,138,286,287,
12.3394961327,0.0013017755,0,183,198,199,
