Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
0.573280276,0.0092863083,0,0,2,3,511
3.6631168673,0.0065364141,0,1,8,9,
47.432099241,0.0074904604,0,1,4,5,
16.1918985369,0.0060924666,0,3,14,15,
45.900554998,0.0052093805,0,3,6,7,
0.767373215,0.0038953594,0,5,26,27,
0.0520817458,0.0039995538,0,5,12,13,
0.2059685489,0.0057399811,0,2,16,17,
98.5410365257,0.0039133762,0,2,10,11,
0.0001134796,0.000048,1,9,,,
15.7998255647,0.0039133502,0,9,94,95,
35.5090631846,0.001397013,0,7,28,29,
63.8313781454,0.0038816007,0,7,32,33,
0.1469050616,0.0056652061,0,4,20,21,
16.0504066723,0.0029720533,0,4,142,143,
59.1364622782,0.0035601981,0,8,18,19,
34.2470480729,0.0049683179,0,8,22,23,
0.0008896802,0.0000775,1,16,,,
35.988628442,0.0035600985,0,16,30,31,
0.309292064,0.0038083439,0,14,24,25,
0.7358172378,0.0047077238,0,14,38,39,
1.2473002504,0.0032044706,0,17,56,57,
3.5642648645,0.0042225503,0,17,40,41,
54.8087133242,0.0027462607,0,20,36,37,
61.4927828319,0.0030166094,0,20,48,49,
0.060027325,0.0036530366,0,6,66,67,
81.6984357698,0.0018157283,0,6,44,45,
0.00025238,0.0013966543,1,12,,,
32.3499347146,0.0000738,1,12,,,
40.6596968788,0.0017349148,0,19,188,189,
0.0393759204,0.00331111,0,19,34,35,
0.0009130677,0.0000824,1,13,,,
11.9155152539,0.0038814989,0,13,74,75,
0.0395154644,0.003053487,0,31,82,83,
27.5229153929,0.0016797705,0,31,52,53,
0.0001851739,0.0000552,1,24,,,
31.1499426758,0.0027461977,0,24,54,55,
26.699144999,0.0023608304,0,21,96,97,
1.3824068391,0.0043525234,0,21,50,51,
66.2013991889,0.0032911692,0,23,42,43,
25.9668054525,0.0031049563,0,23,46,47,
0.0000886,0.0000464,1,40,,,
6.9636479862,0.0032911381,0,40,58,59,
0.000012,0.0000404,1,27,,,
9.8053892755,0.0018156746,0,27,372,373,
0.0034965171,0.0001093376,1,41,,,
15.8169884794,0.0031046672,0,41,136,137,
0.00000138,0.0000167,1,25,,,
11.5056840584,0.0030166067,0,25,150,151,
0.1062509765,0.0019869262,0,39,118,119,
9.7995156098,0.0040961787,0,39,64,65,
0.0004604993,0.0000833,1,35,,,
21.4157053925,0.0016794027,0,35,402,403,
1.31144601,0.0023789739,0,37,166,167,
24.8400250781,0.0017000702,0,37,300,301,
9.456213598,0.0022228574,0,22,90,91,
24.7401317613,0.0026109321,0,22,70,71,
4.3922898736,0.0024874979,0,43,60,61,
3.6317521107,0.0025009075,0,43,92,93,
10.3318091499,0.0021204166,0,58,124,125,
11.8310610612,0.0015947895,0,58,62,63,
0.0557121151,0.0013803147,0,61,186,187,
11.0441512483,0.0009892878,1,61,,,
3.7017539936,0.002878191,0,51,72,73,
31.2177610344,0.0033081097,0,51,76,77,
0.3615107509,0.0030553754,0,26,68,69,
19.809358652,0.0024281986,0,26,78,79,
9.1371399613,0.0018782178,0,66,152,153,
3.7769133502,0.0026547543,0,66,98,99,
0.0008465213,0.0000784,1,57,,,
3.8377547802,0.002610769,0,57,122,123,
16.0936617057,0.0017780089,0,64,114,115,
43.1254645743,0.0024955913,0,64,80,81,
1.1153897264,0.0026027195,0,33,88,89,
36.4960583311,0.0032302385,0,33,120,121,
0.0007724526,0.0000764,1,65,,,
10.5565883083,0.0033080025,0,65,84,85,
1.529281156,0.0017562006,0,67,184,185,
0.1815050048,0.0019188665,0,67,214,215,
0.0001630994,0.0000553,1,73,,,
13.456717296,0.0024955184,0,73,132,133,
20.1154370712,0.0020294861,0,34,86,87,
0.6664693864,0.0025540491,0,34,116,117,
36.267403392,0.0029120119,0,77,106,107,
1.618608771,0.0019678628,0,77,146,147,
0.0008274557,0.0000896,1,82,,,
7.2972672756,0.0020291534,0,82,108,109,
14.5925892348,0.002272973,0,74,140,141,
22.5195398466,0.0015803423,0,74,196,197,
5.3272508144,0.0020237697,0,56,102,103,
4.4776899561,0.0011886388,0,56,468,469,
31.6236527398,0.0023718079,0,59,144,145,
24.0241059917,0.0010854403,1,59,,,
0.1713753155,0.0032093886,0,11,104,105,
39.1222665954,0.0026876819,0,11,100,101,
0.0006272526,0.000074,1,38,,,
3.7174726565,0.0023606661,0,38,288,289,
1.8502972743,0.0025776383,0,69,128,129,
18.8196461263,0.0009218086,1,69,,,
0.000366688,0.000073,1,95,,,
22.4583223591,0.0026875513,0,95,112,113,
12.386794101,0.0015800927,0,90,232,233,
0.062856695,0.001485165,0,90,278,279,
0.3037547635,0.0030491754,0,94,110,111,
2.6596498833,0.0013751065,0,94,264,265,
0.0441379253,0.002257906,0,84,138,139,
16.7679666317,0.0021540455,0,84,276,277,
0.2741962533,0.0019593372,0,87,170,171,
3.4262478985,0.0007527177,1,87,,,
15.576785753,0.0015025865,0,104,154,155,
36.3980919165,0.002829539,0,104,148,149,
18.3528533409,0.0021070541,0,101,242,243,
15.302818358,0.0019626731,0,101,130,131,
31.5481665584,0.0014102748,0,72,220,221,
13.9963029395,0.0012799545,0,72,398,399,
30.4514291438,0.0014101855,0,83,174,175,
22.8017625162,0.0023046639,0,83,238,239,
0.241307665,0.0011334814,0,50,338,339,
13.1982428213,0.0017749102,0,50,164,165,
0.0001466891,0.0000574,1,75,,,
10.5204434757,0.0032301841,0,75,178,179,
3.6191339107,0.0022711822,0,71,134,135,
3.1708123728,0.0016002928,0,71,304,305,
2.6341734497,0.0019867554,0,60,126,127,
13.5841926184,0.0009933648,1,60,,,
7.053198827,0.0016392532,0,124,308,309,
16.694818227,0.0013514431,0,124,248,249,
23.2642878704,0.0023601587,0,98,176,177,
10.7218344515,0.0013479925,0,98,192,193,
0.00000801,0.000035,1,113,,,
2.5456054159,0.0019626398,0,113,396,397,
0.3420857514,0.0024437944,0,81,158,159,
4.8744311571,0.0007589923,1,81,,,
0.0145917613,0.0019692797,0,122,228,229,
29.968803577,0.001403016,0,122,204,205,
5.9097415169,0.0029367365,0,47,160,161,
12.7853786303,0.0013718593,0,47,316,317,
17.3586115724,0.0016753736,0,106,156,157,
0.9483299108,0.0017458823,0,106,358,359,
0.005199108,0.0001377163,1,88,,,
10.0942158319,0.0022721512,0,88,194,195,
9.3801568823,0.0022438064,0,15,244,245,
2.0849827405,0.0022609351,0,15,180,181,
11.5834405579,0.0012930285,0,92,234,235,
12.7128084528,0.0021480351,0,92,224,225,
1.2723175981,0.0018846739,0,85,210,211,
7.9321778293,0.000790756,1,85,,,
0.0014048023,0.0001023861,1,111,,,
0.0401572297,0.002829257,0,111,200,201,
22.8212921184,0.0019627986,0,49,162,163,
0.2966762617,0.0025523522,0,49,274,275,
5.2900150035,0.001487163,0,68,406,407,
29.8272783053,0.0013550855,0,68,496,497,
24.1620682225,0.0011201022,1,110,,,
21.2281512222,0.0011569461,1,110,,,
6.8990341312,0.0014657708,0,138,416,417,
7.6246961238,0.001012666,1,138,,,
0.2136062843,0.0014501726,0,132,362,363,
28.7326861084,0.0021532449,0,132,182,183,
0.0408304894,0.0020643721,0,136,218,219,
1.4224644825,0.0023710306,0,136,168,169,
7.9272148626,0.0013798239,0,150,360,361,
23.4668027859,0.0015846388,0,150,458,459,
28.0637904588,0.0014492233,0,119,208,209,
5.5813726327,0.0012272907,0,119,486,487,
33.9026676847,0.0020588741,0,54,394,395,
33.2275651855,0.0014760076,0,54,470,471,
44.0416178612,0.0019633123,0,161,198,199,
0.0982478109,0.0016034232,0,161,270,271,
2.9580320145,0.0014693999,0,108,246,247,
14.8125669272,0.0015001611,0,108,172,173,
3.0284156721,0.0013199188,1,171,,,
14.4151556147,0.0008936063,1,171,,,
0.0000187,0.0014100806,1,116,,,
17.3881172078,0.0000454,1,116,,,
0.0000218,0.0000325,1,128,,,
11.7977438415,0.0023601378,0,128,190,191,
1.2290089181,0.002343184,0,121,206,207,
11.7128829869,0.002546524,0,121,252,253,
1.3939325654,0.0017522901,0,143,230,231,
9.3212819001,0.0016732804,0,143,216,217,
0.0004225891,0.0000854,1,159,,,
6.3695153079,0.002152975,0,159,202,203,
26.328719957,0.001054714,1,78,,,
5.3568906383,0.0015403686,0,78,226,227,
22.297077689,0.0008796976,1,62,,,
6.8868041954,0.0011800243,1,62,,,
0.0000751,0.0000583,1,30,,,
3.1220856985,0.0017347709,0,30,344,345,
24.8915500011,0.0022756511,0,177,352,353,
10.5882763944,0.0008891082,1,177,,,
0.0477520141,0.0002342402,1,129,,,
13.4042592096,0.0013411796,0,129,348,349,
10.1651282257,0.0020701248,0,141,256,257,
7.5265491506,0.0012117101,0,141,432,433,
0.0001997906,0.000072,1,89,,,
10.6603391761,0.0015800625,0,89,460,461,
0.0003383342,0.0000795,1,168,,,
11.8105426463,0.0019630529,0,168,212,213,
0.6251197331,0.0015296535,0,149,222,223,
0.3293517327,0.0025682379,0,149,254,255,
14.127776812,0.0017614213,0,183,390,391,
0.4276179175,0.0014841938,0,183,364,365,
0.0002997357,0.0014024553,1,135,,,
18.9188788057,0.0000885,1,135,,,
25.0829544697,0.0022091187,0,178,292,293,
14.9025185719,0.0010578937,1,178,,,
0.00000878,0.0000396,1,164,,,
2.9934244396,0.0014491518,0,164,340,341,
0.0779678819,0.0015541708,0,146,410,411,
0.8586775454,0.0012831466,0,146,494,495,
20.0634036941,0.0013482577,1,199,,,
0.0464130805,0.0016098969,0,199,322,323,
0.5361715191,0.0017748022,0,79,266,267,
18.5972076958,0.00096048,1,79,,,
20.4578475817,0.0012464561,0,181,260,261,
22.7279376476,0.0012892218,0,181,330,331,
6.65078842,0.000753666,1,160,,,
31.2728656037,0.0019961921,0,160,314,315,
0.002882232,0.0014080367,1,114,,,
19.9604763687,0.0001543489,1,114,,,
10.4458010448,0.000957374,1,200,,,
9.3401588525,0.0013187361,0,200,250,251,
0.1014985751,0.0015034102,0,145,388,389,
10.6285848916,0.0017395462,0,145,258,259,
25.9408560888,0.0013149574,0,185,414,415,
17.3154171183,0.0009846388,1,185,,,
0.0886883477,0.0012378105,0,134,296,297,
0.0353270641,0.0016944599,0,134,240,241,
7.0050145881,0.0012636903,0,180,318,319,
18.643265011,0.001387925,0,180,324,325,
25.3632715272,0.0013617398,0,102,236,237,
17.6488460808,0.0009897191,1,102,,,
0.0021575231,0.0012892449,1,144,,,
5.592567769,0.0001806847,1,144,,,
0.0005945891,0.0013606577,1,232,,,
12.4814595759,0.0001130412,1,232,,,
9.0555241135,0.0021638292,0,117,262,263,
18.3282162702,0.0010669893,1,117,,,
13.5748974963,0.0011085525,0,229,442,443,
17.0952900859,0.0014295928,0,229,428,429,
3.5631082828,0.0015213483,0,112,290,291,
