Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
1.8272499741,0.0096452202,0,0,2,3,511
2.9006671653,0.0079251406,0,1,6,7,
138.0396563753,0.0066047122,0,1,4,5,
0.0011605973,0.0000822,1,3,,,
16.2377907914,0.0066046666,0,3,14,15,
75.6646148699,0.0053202826,0,2,8,9,
3.0026069784,0.0065909825,0,2,10,11,
0.0003148911,0.0000582,1,6,,,
33.258057974,0.0053202559,0,6,18,19,
0.1010299179,0.0042323053,0,7,34,35,
42.1751466724,0.0056139817,0,7,12,13,
0.0001540571,0.0000476,1,11,,,
10.5136034511,0.0056139669,0,11,24,25,
10.7938590355,0.006381722,0,5,16,17,
22.853394237,0.0024318471,0,5,20,21,
0.3633832736,0.0030946024,0,14,60,61,
0.1281945472,0.0059411897,0,14,26,27,
20.5884694227,0.0045847458,0,9,32,33,
36.8619904344,0.003332928,0,9,22,23,
27.0004907759,0.0020016327,0,15,40,41,
0.3959554969,0.0016606695,0,15,204,205,
28.354094332,0.0026265244,0,19,48,49,
1.4498558288,0.0024188447,0,19,62,63,
71.934984791,0.003247243,0,13,28,29,
47.2364069109,0.0049918233,0,13,36,37,
64.7061673021,0.0047145096,0,17,30,31,
0.033405257,0.0042745203,0,17,50,51,
0.00000403,0.0000215,1,24,,,
15.4524962648,0.0032472384,0,24,96,97,
17.1877122212,0.0022300388,0,26,152,153,
0.1071052565,0.0044096971,0,26,44,45,
11.8554222437,0.0037641274,0,18,46,47,
0.247510155,0.0031434095,0,18,66,67,
27.5041812228,0.0037064194,0,10,38,39,
70.7239347631,0.0025518804,0,10,42,43,
24.6740531364,0.003142736,0,25,64,65,
52.3377275501,0.0042920224,0,25,72,73,
0.0002131546,0.000052,1,34,,,
18.6387779872,0.0037063849,0,34,52,53,
0.0000688,0.00005,1,20,,,
7.8029161364,0.0020015536,0,20,136,137,
0.0000138,0.000029,1,35,,,
17.2683415532,0.0025518663,0,35,76,77,
29.7153084689,0.0043327168,0,31,78,79,
47.5375465325,0.0012534017,1,31,,,
27.9857550143,0.002128625,0,32,70,71,
28.4223659735,0.0033719332,0,32,108,109,
0.0001778146,0.000059,1,22,,,
12.7889408061,0.002626445,0,22,210,211,
0.4066587241,0.0033894548,0,27,106,107,
18.0023944628,0.0030782943,0,27,54,55,
28.1155633287,0.0031241762,0,39,58,59,
29.078871026,0.0024289638,0,39,86,87,
18.001864866,0.0021598503,0,51,104,105,
23.7706149564,0.0024885859,0,51,56,57,
0.000136034,0.0000547,1,55,,,
10.4460063114,0.0024885146,0,55,138,139,
0.0005427975,0.0000701,1,52,,,
6.1836043691,0.0031240819,0,52,68,69,
15.6866090943,0.0011123834,0,16,100,101,
0.0291484469,0.0029963833,0,16,102,103,
16.9493323805,0.0017358267,0,23,126,127,
40.4083875733,0.001923266,0,23,74,75,
2.8073596242,0.003029925,0,36,172,173,
18.6222260486,0.0011851937,0,36,218,219,
4.2383379423,0.0027173461,0,33,114,115,
35.2791677385,0.0019553955,0,33,146,147,
23.3969918872,0.0024323139,0,59,178,179,
29.547600952,0.0023001416,0,59,202,203,
6.8362231184,0.0019671157,0,46,396,397,
18.1103848077,0.0010697204,1,46,,,
0.00000727,0.0000243,1,37,,,
0.0117744149,0.0042920183,0,37,82,83,
0.0002259503,0.0000731,1,63,,,
5.799343601,0.001923049,0,63,318,319,
50.0807766285,0.0022341813,0,43,192,193,
15.8203202193,0.0015397087,0,43,170,171,
0.0006391322,0.0000785,1,44,,,
12.3089533143,0.0043326402,0,44,80,81,
0.3315830454,0.0023082833,0,79,184,185,
4.7959760985,0.0039484183,0,79,110,111,
4.1890982133,0.0015970949,0,73,270,271,
4.9480630198,0.0041431599,0,73,84,85,
0.0190647589,0.0035806928,0,83,88,89,
3.8306630009,0.0025787685,0,83,90,91,
0.0025515273,0.0001059896,1,53,,,
2.1673952914,0.0024285773,0,53,148,149,
0.0096687904,0.003234552,0,84,92,93,
0.1530160329,0.001969718,0,84,244,245,
33.9414490468,0.0013748793,0,85,294,295,
0.1013158954,0.0023496344,0,85,94,95,
22.4885658941,0.001023633,1,88,,,
0.0662366584,0.0031603861,0,88,98,99,
37.783008366,0.0017400086,0,91,124,125,
0.0792566852,0.0018200228,0,91,186,187,
6.2890019804,0.0025718504,0,29,118,119,
1.531112515,0.0023419884,0,29,190,191,
35.7768525399,0.0014770636,0,93,176,177,
32.5954904294,0.0029624059,0,93,116,117,
0.0027082279,0.0011084514,1,60,,,
5.1796668537,0.0001676149,1,60,,,
0.1344753814,0.0014215969,0,61,228,229,
7.8443041701,0.0028011189,0,61,112,113,
10.0332259144,0.0009046203,1,54,,,
0.6830416882,0.002058209,0,54,122,123,
9.9605094584,0.0012999104,0,50,132,133,
26.9616489658,0.0032624109,0,50,166,167,
23.867988747,0.0028711851,0,47,140,141,
0.2449276824,0.0021666379,0,47,164,165,
4.6321564094,0.0029679079,0,81,162,163,
17.5636229498,0.0030164795,0,81,194,195,
1.0714392673,0.0010840774,0,103,158,159,
7.1517307626,0.0026936428,0,103,144,145,
2.2783056622,0.001754044,0,66,130,131,
0.5089256513,0.0023085285,0,66,156,157,
24.4306970919,0.0019910681,0,99,128,129,
48.3703910175,0.0024619897,0,99,134,135,
15.9452804938,0.0022885066,0,96,120,121,
0.0154946761,0.0014844247,0,96,292,293,
24.7399629411,0.0020514841,0,118,290,291,
33.9858803306,0.0012913141,1,118,,,
0.4981211301,0.0017790974,0,105,368,369,
16.278788423,0.0012805601,0,105,150,151,
0.0000958,0.0000602,1,94,,,
3.395958845,0.0017398539,0,94,338,339,
0.0006851887,0.0000865,1,62,,,
3.8150110378,0.0017354418,0,62,264,265,
6.1787948242,0.0008860592,1,116,,,
4.551272501,0.0018813589,0,116,174,175,
26.0441545888,0.0010506923,1,114,,,
0.2417321766,0.0015400177,0,114,188,189,
0.0009847099,0.0000925,1,106,,,
6.1213771131,0.0012992075,0,106,304,305,
0.000078,0.0000553,1,117,,,
0.2221375429,0.0024619152,0,117,222,223,
23.3259319318,0.0016147365,0,41,384,385,
4.8106123966,0.0014085316,0,41,198,199,
14.1653319015,0.001363055,0,57,400,401,
13.7004862767,0.0022507274,0,57,298,299,
0.1458438206,0.0027831507,0,108,142,143,
16.1033925147,0.0010182474,1,108,,,
0.0849643833,0.0017981215,0,140,160,161,
22.4988481517,0.0023633717,0,140,246,247,
27.8901791608,0.0020055358,0,113,220,221,
6.2530938064,0.0020763422,0,113,262,263,
0.0007291517,0.0000898,1,67,,,
3.9809066212,0.0019550417,0,67,154,155,
37.1107905331,0.0014495917,0,87,288,289,
23.6031797989,0.002135139,0,87,226,227,
0.000661425,0.0012790113,1,123,,,
7.0819137315,0.0001257352,1,123,,,
10.0000027829,0.0016630199,0,30,340,341,
7.657605287,0.0017164534,0,30,324,325,
5.6998643298,0.0014449296,0,147,376,377,
0.2009757187,0.0015170431,0,147,382,383,
34.4773813288,0.0017593174,0,115,310,311,
13.1368253499,0.0017396748,0,115,366,367,
12.3080297728,0.0007585922,1,112,,,
6.8573773962,0.0008780435,1,112,,,
46.0345755409,0.0013250456,1,142,,,
5.5597743558,0.0013988959,0,142,504,505,
12.1841014349,0.0028040911,0,110,182,183,
16.3667091627,0.0013216443,0,110,336,337,
0.2921968824,0.0018754542,0,109,308,309,
24.2754238733,0.0013436966,0,109,180,181,
9.9999979608,0.0014841341,0,107,306,307,
18.4336632755,0.0030720057,0,107,168,169,
20.2857521897,0.0026907491,0,167,216,217,
8.1703613601,0.001851476,0,167,208,209,
0.000021,0.0000402,1,77,,,
7.0531198855,0.0015396408,0,77,302,303,
31.4922464657,0.0011038897,1,64,,,
0.0887447888,0.0029303843,0,64,212,213,
14.3763751446,0.0011262784,1,129,,,
2.033262711,0.001652179,0,129,258,259,
0.0022574856,0.0014753476,1,98,,,
25.782991012,0.0001427142,1,98,,,
0.0006430239,0.0000794,1,68,,,
15.645099614,0.0024321268,0,68,206,207,
0.000043,0.0013434787,1,165,,,
11.5060229441,0.0000591,1,165,,,
15.3756088288,0.0019475295,0,162,256,257,
9.6127327243,0.0022828195,0,162,196,197,
11.9063600488,0.0019031303,0,80,272,273,
41.9899147714,0.0015720389,0,80,224,225,
22.3593893042,0.001032766,1,95,,,
1.7723581526,0.0016286094,0,95,286,287,
19.4535773231,0.0009782613,1,131,,,
8.1219262645,0.0013186173,0,131,500,501,
26.388860578,0.002039769,0,97,252,253,
14.2768442567,0.0014314601,0,97,412,413,
0.0004029803,0.0000831,1,76,,,
23.385815854,0.0022339426,0,76,200,201,
37.2766311039,0.0025037355,0,111,260,261,
3.3817399083,0.0020317915,0,111,316,317,
1.0469692435,0.0012350928,0,183,406,407,
1.7868974334,0.0020718113,0,183,326,327,
9.038348722,0.0010519003,1,137,,,
8.0529144396,0.0010827011,1,137,,,
2.3486630569,0.0018968991,0,193,460,461,
24.4043663978,0.0014434444,1,193,,,
21.5482823223,0.0014974434,0,69,380,381,
4.2599125976,0.0019455953,0,69,462,463,
22.1231132887,0.001035788,1,21,,,
1.1037081123,0.0014338967,0,21,214,215,
12.0447326981,0.0018366499,0,179,354,355,
31.5841064276,0.0018497302,0,179,254,255,
0.0001689217,0.0000626,1,169,,,
4.2319128391,0.0018513204,0,169,328,329,
1.9381591762,0.0006270624,1,49,,,
9.8693632092,0.0025969361,0,49,234,235,
36.3135816471,0.0018849192,0,173,232,233,
1.3454230825,0.0024938965,0,173,238,239,
25.7320987051,0.0010902632,1,205,,,
26.419597067,0.0010831001,1,205,,,
0.0002491778,0.0000697,1,168,,,
9.6836390587,0.0026906327,0,168,230,231,
0.0005278901,0.0011837348,1,65,,,
5.4949603994,0.0001171923,1,65,,,
0.0001119396,0.0000551,1,144,,,
16.6498368521,0.0020054355,0,144,248,249,
29.9790540218,0.0020498831,0,135,240,241,
10.6336694041,0.0016493822,0,135,442,443,
0.0003623003,0.001571113,1,185,,,
12.2881874782,0.0001157718,1,185,,,
20.8689956946,0.0015280829,0,149,276,277,
1.3184106524,0.0017012315,0,149,374,375,
16.9729485186,0.0009187975,1,102,,,
21.4783286505,0.0012069533,0,102,440,441,
5.8629246044,0.0020586861,0,217,280,281,
