Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
8.578161759,0.0078338634,0,0,2,3,511
25.1556059371,0.0075449231,0,1,6,7,
30.0443445169,0.0029856723,0,1,4,5,
0.0060749832,0.0001270125,1,3,,,
8.2590485141,0.0029852265,0,3,14,15,
12.4418899499,0.0047628759,0,2,10,11,
6.0949103276,0.0064791813,0,2,8,9,
27.0565180463,0.0052013074,0,7,18,19,
25.937583554,0.0045908135,0,7,12,13,
6.6361421812,0.0047446338,0,6,16,17,
8.6773245629,0.0007410168,1,6,,,
0.0007348449,0.0000728,1,9,,,
11.4044519158,0.0045907554,0,9,20,21,
21.5567997097,0.0014436982,0,5,38,39,
14.4960202365,0.0027806132,0,5,26,27,
11.7935622037,0.0023470668,0,10,196,197,
13.9171600539,0.0043993821,0,10,36,37,
0.0007732719,0.0000733,1,8,,,
2.5763947156,0.0052012583,0,8,22,23,
4.5635046991,0.0025653037,0,13,24,25,
4.8508226293,0.0041276925,0,13,32,33,
10.2139851386,0.0036718877,0,19,48,49,
5.7401391769,0.0041865308,0,19,28,29,
14.2625484824,0.0021218392,0,20,34,35,
1.3809112445,0.0017379641,0,20,182,183,
0.0000182,0.0000326,1,15,,,
2.067429724,0.0027805967,0,15,44,45,
5.6083578997,0.0038368213,0,23,30,31,
14.9622640157,0.0021812013,0,23,64,65,
6.647325021,0.0021205468,0,28,82,83,
15.2901625415,0.0034611786,0,28,40,41,
1.1535194441,0.0035426341,0,21,52,53,
16.4880295162,0.0026088692,0,21,58,59,
5.8870861761,0.0019239856,0,24,108,109,
13.3785354725,0.0011517328,0,24,368,369,
3.1123375172,0.0043138668,0,17,54,55,
17.5420948596,0.0013046255,0,17,42,43,
0.000722104,0.0001044604,1,14,,,
8.7303327532,0.0014428846,0,14,406,407,
7.9189553086,0.0021965541,0,31,248,249,
13.520263551,0.002964911,0,31,46,47,
0.0006833585,0.0000981,1,37,,,
2.3594847094,0.0013038151,0,37,394,395,
8.729596337,0.0023574788,0,27,94,95,
0.5162479941,0.0018020635,0,27,162,163,
0.139885558,0.0022538573,0,41,106,107,
11.7849774456,0.0022400757,0,41,190,191,
10.000000781,0.0011607265,0,22,348,349,
10.2620794428,0.0035879352,0,22,50,51,
0.0547519907,0.0022282504,0,49,88,89,
0.1244636463,0.0031038549,0,49,56,57,
3.0114250222,0.0032082136,0,32,70,71,
2.879574209,0.0019317168,0,32,112,113,
7.3527246509,0.0019053505,0,36,152,153,
0.1499297354,0.0040807917,0,36,60,61,
3.8705728364,0.0027895246,0,51,62,63,
15.2670027749,0.0017369724,0,51,74,75,
0.0000193,0.0000322,1,33,,,
7.6453004545,0.0026088516,0,33,120,121,
0.1454302803,0.0030099212,0,55,78,79,
0.3981376927,0.0031722085,0,55,68,69,
14.9968629797,0.0019692405,0,56,126,127,
0.054364984,0.0022453549,0,56,96,97,
0.0014479229,0.0000935,1,29,,,
10.4422748396,0.0021808689,0,29,66,67,
8.9702189219,0.0014744555,0,65,186,187,
12.1310146262,0.0018061233,0,65,212,213,
21.7311198653,0.0019072662,0,61,140,141,
0.1100376887,0.0027811358,0,61,104,105,
4.0659960895,0.0031107794,0,52,72,73,
1.0225990816,0.001133539,0,52,266,267,
18.4116327449,0.0015464683,0,70,158,159,
2.0591354371,0.00288143,0,70,92,93,
0.0154011353,0.0010133309,0,57,84,85,
0.8942880809,0.0015399142,0,57,76,77,
6.2395718482,0.0011809872,0,75,86,87,
6.8081999927,0.0011528314,0,75,470,471,
8.4049577429,0.0025081585,0,60,80,81,
15.9502833849,0.002013769,0,60,144,145,
14.2859564184,0.0020880389,0,78,102,103,
9.3766251008,0.0016808455,0,78,128,129,
1.7240296762,0.0019454964,0,30,134,135,
12.4117085238,0.001099934,0,30,420,421,
4.0429175743,0.0007693783,1,74,,,
4.1031268569,0.0007665401,1,74,,,
3.1497858166,0.0008844913,1,76,,,
2.8691588068,0.000905368,1,76,,,
0.232027209,0.0015513003,0,50,136,137,
1.2305614548,0.0018110933,0,50,90,91,
1.3816255607,0.0015847562,0,89,110,111,
6.6772950198,0.0010942733,0,89,222,223,
19.944105781,0.0022728087,0,73,122,123,
1.0848701944,0.0020888067,0,73,114,115,
5.4444128357,0.0011995748,0,44,284,285,
0.7089466559,0.0021725831,0,44,164,165,
15.7416014094,0.0021273472,0,63,98,99,
0.2920249848,0.0009812687,0,63,484,485,
0.0002040587,0.0000631,1,96,,,
0.9074890139,0.0021272183,0,96,100,101,
4.6185154329,0.0010289726,0,99,118,119,
3.4153447837,0.0019813325,0,99,180,181,
7.1189732984,0.001860949,0,80,138,139,
2.5420608,0.0011995004,0,80,236,237,
6.9176860257,0.0011937638,0,69,358,359,
6.5379178475,0.0026416495,0,69,178,179,
13.4298135654,0.0016527979,0,46,116,117,
0.6148350113,0.0017608475,0,46,184,185,
5.9994954821,0.0012452973,0,34,432,433,
2.4230634851,0.0016322905,0,34,276,277,
3.3880061855,0.0011124645,0,90,192,193,
0.6393663443,0.0012807293,0,90,150,151,
1.3902833489,0.0014352119,0,53,220,221,
0.074941103,0.0014919001,0,53,176,177,
15.5609287315,0.0016200985,0,93,216,217,
0.356824143,0.0015445896,0,93,166,167,
7.433734952,0.0014561074,0,106,316,317,
10.2158724426,0.0009811215,1,106,,,
0.0213906266,0.0010147687,1,100,,,
4.4934451651,0.0002665496,1,100,,,
0.4168899857,0.001782612,0,59,124,125,
4.4938029922,0.0021465153,0,59,146,147,
0.0012499754,0.0000993,1,92,,,
4.1444541604,0.0022724462,0,92,132,133,
4.3857836612,0.0015359636,0,120,202,203,
1.6870686589,0.0011170697,0,120,328,329,
2.5583627379,0.0014725225,0,62,290,291,
4.5556479496,0.0015118984,0,62,226,227,
0.0002564774,0.0000644,1,81,,,
3.8245440975,0.0016806523,0,81,130,131,
12.0818843542,0.0014696438,0,129,148,149,
0.8470678334,0.0010171529,0,129,452,453,
0.2895273214,0.0015520947,0,123,160,161,
0.9437856319,0.0018702215,0,123,170,171,
2.9982764192,0.0011796814,0,82,472,473,
8.6041457896,0.0016999432,0,82,156,157,
1.1198126172,0.0014184563,0,88,280,281,
9.5690874566,0.0008157758,1,88,,,
0.9918761865,0.0017440832,0,102,142,143,
7.1201177276,0.0008705652,1,102,,,
0.0001824344,0.0000628,1,68,,,
1.0565430057,0.0019071161,0,68,244,245,
9.1492398145,0.000937184,1,138,,,
2.0150301105,0.0015858133,0,138,286,287,
5.980441274,0.0015424601,0,79,224,225,
1.907557686,0.0015095772,0,79,254,255,
0.4445011672,0.0019676851,0,121,230,231,
1.194010192,0.0011172404,0,121,336,337,
1.7596717956,0.0011602662,0,130,400,401,
6.0984238132,0.0010641884,1,130,,,
8.9592911048,0.000827756,1,111,,,
1.4636834645,0.0010873527,0,111,174,175,
2.0053251706,0.001401087,0,54,154,155,
13.3656731362,0.0014850531,0,54,268,269,
4.5664384099,0.0011387057,0,152,262,263,
0.3068229543,0.0009755327,0,152,462,463,
12.1854858942,0.001166461,0,135,256,257,
1.6214073117,0.0013949543,0,135,298,299,
0.0009360921,0.0001015225,1,72,,,
7.3526723951,0.001545785,0,72,396,397,
15.2025193061,0.001380636,0,132,300,301,
7.2195051873,0.0008967251,1,132,,,
0.2911301458,0.0009407208,0,45,228,229,
2.0983694185,0.0016507443,0,45,168,169,
5.3157391953,0.0013958031,0,95,242,243,
7.6008871372,0.0018500698,0,95,172,173,
13.5712900755,0.001249501,0,115,322,323,
10.6697995754,0.0010827431,0,115,438,439,
2.2001545728,0.0015498517,0,163,466,467,
4.6710264736,0.0007642967,1,163,,,
0.4436234546,0.0017659415,0,133,208,209,
5.2648312965,0.0008360692,1,133,,,
0.0000116,0.0000357,1,165,,,
2.2900783076,0.0018500316,0,165,302,303,
9.5703029499,0.0007782529,1,151,,,
6.2325854021,0.0008663335,1,151,,,
14.4350626019,0.0009025433,1,113,,,
4.8856773377,0.0013048051,0,113,206,207,
2.9204893754,0.0021819091,0,105,188,189,
0.0149189992,0.001793828,0,105,194,195,
5.9877329311,0.0017850952,0,101,210,211,
2.4833196475,0.0010997332,0,101,310,311,
10.3078003172,0.0008267333,1,25,,,
6.0790602983,0.0016239175,0,25,360,361,
5.8685275956,0.0011556946,0,107,332,333,
18.6937061168,0.0014830605,0,107,418,419,
0.0096821018,0.0001917328,1,66,,,
3.5643417951,0.0014708526,0,66,344,345,
4.7002965182,0.0018044815,0,178,200,201,
9.338002092,0.0014785432,0,178,426,427,
3.6739076291,0.0019130584,0,47,198,199,
3.0938239335,0.0014306931,0,47,246,247,
5.9536155581,0.0008925235,1,110,,,
9.7549372629,0.000788876,1,110,,,
0.0760782425,0.0012721222,0,179,232,233,
10.7444646804,0.0014391155,0,179,382,383,
0.7109888255,0.000422297,1,16,,,
0.0924584916,0.0023341214,0,16,218,219,
8.6777273044,0.0017037952,0,190,378,379,
0.1546904778,0.001101302,0,190,250,251,
1.1321813783,0.00148274,0,188,234,235,
4.9370360132,0.0012355667,0,188,204,205,
5.295724277,0.0011640273,0,124,444,445,
1.7740474601,0.0011640581,0,124,424,425,
8.9078596015,0.0009818388,1,201,,,
13.3520493152,0.0008873533,1,201,,,
2.5572003071,0.0010855144,0,177,294,295,
9.8072358932,0.000875432,1,177,,,
0.8061953715,0.0010172202,0,170,258,259,
2.5337662675,0.0015724538,0,170,264,265,
0.0000391,0.000047,1,180,,,
1.7147885771,0.0017850146,0,180,238,239,
3.4672699499,0.0014458825,0,67,214,215,
2.1468955186,0.0012845539,0,67,482,483,
6.6721345935,0.0012780059,0,212,326,327,
3.4956107248,0.0008506485,1,212,,,
0.423412996,0.0004376365,1,114,,,
5.8277859559,0.0015952359,0,114,448,449,
0.0261181603,0.0020410021,0,197,288,289,
1.2140946745,0.0014127569,0,197,272,273,
12.7131627401,0.0011112174,0,112,240,241,
4.6794460285,0.0010633676,0,112,440,441,
0.0003926805,0.0000868,1,91,,,
1.4708463037,0.0010934975,0,91,476,477,
0.4431847786,0.0014051651,0,144,252,253,
5.9420253102,0.0008229062,1,144,,,
11.656269034,0.0013243941,0,127,270,271,
7.5697731288,0.0009109782,1,127,,,
5.6236060017,0.0006191905,1,162,,,
2.1105643108,0.0007910945,1,162,,,
4.0705836541,0.0017634155,0,146,282,283,
5.0116064076,0.0011112371,0,146,402,403,
11.694011522,0.0008494921,1,194,,,
11.9182629055,0.0010612137,0,194,366,367,
3.8734750128,0.001205029,0,200,354,355,
0.2934286831,0.0010324337,0,200,398,399,
9.3714509117,0.0009053219,1,103,,,
9.0697759979,0.0009127579,1,103,,,
9.2460460523,0.0010607889,1,211,,,
5.8832762507,0.0015719353,0,211,314,315,
0.0030366818,0.001107267,1,220,,,
5.754686424,0.0001678212,1,220,,,
3.7713594347,0.0012380554,0,164,494,495,
3.2938079602,0.000813161,1,164,,,
6.3071991054,0.0017847154,0,141,274,275,
7.3183399492,0.0008995816,1,141,,,
9.185355983,0.0009384052,1,191,,,
3.0520120504,0.0012054026,0,191,508,509,
2.501095646,0.001196227,0,40,304,305,
9.1418762831,0.0019899035,0,40,260,261,
8.7138434667,0.0007346988,1,199,,,
3.5558745321,0.000919232,1,199,,,
14.8074256367,0.0010408361,1,224,,,
1.1826900573,0.0010882057,0,224,380,381,
10.0290043894,0.0011315553,0,145,464,465,
2.4815984884,0.0011563346,0,145,364,365,
0.014439391,0.0011514989,1,156,,,
3.420770978,0.0002935079,1,156,,,
3.9806547087,0.0007219321,1,208,,,
2.4434406259,0.0008156137,1,208,,,
2.9487981876,0.0013757267,0,249,320,321,
2.6067750316,0.0016249415,0,249,278,279,
7.580287286,0.0008524647,1,154,,,
6.8823042232,0.0008733017,1,154,,,
8.3289709632,0.0014065325,0,209,296,297,
5.6329394202,0.0008933617,1,209,,,
16.389100312,0.0007721129,1,71,,,
7.6381593265,0.0009344851,1,71,,,
0.0397166777,0.0002539205,1,153,,,
4.9774031709,0.0014778458,0,153,446,447,
0.5009697792,0.001241447,1,226,,,
8.1090164386,0.0006189264,1,226,,,
1.172560661,0.0010486829,0,219,498,499,
2.3378096364,0.0010919989,0,219,454,455,
0.4967484337,0.0015473415,0,244,342,343,
5.045922378,0.0011027291,0,244,352,353,
8.8144558085,0.0013465921,0,109,372,373,
0.8414577743,0.0011105876,0,109,330,331,
0.4163014131,0.0010252693,0,261,338,339,
2.0963386761,0.0013957326,0,261,356,357,
4.518953426,0.0010804739,0,136,318,319,
1.126447151,0.0010694615,0,136,390,391,
4.573812958,0.0015748222,0,230,306,307,
11.6422482891,0.0010068116,1,230,,,
4.2460672608,0.0009284583,1,94,,,
5.0489092672,0.0008891187,1,94,,,
6.9234607974,0.0012540263,0,143,422,423,
3.5889951471,0.0011459728,0,143,340,341,
7.5025256828,0.0018102359,0,218,312,313,
1.0083635666,0.0011892277,0,218,384,385,
1.5730190764,0.0013579618,0,126,292,293,
3.5592558965,0.0007470062,1,126,,,
7.7198887592,0.001180576,0,290,370,371,
4.8503956214,0.0008336461,1,290,,,
1.9909226053,0.0009665153,1,206,,,
11.356776904,0.000625401,1,206,,,
0.0073928832,0.0002341552,1,264,,,
0.4563296689,0.0014001487,0,264,350,351,
11.515336524,0.0011783428,0,157,334,335,
9.5013249539,0.0009104966,1,157,,,
0.0010496092,0.0013788524,1,160,,,
10.1108578208,0.0001391803,1,160,,,
0.1206413518,0.0015385179,0,173,434,435,
0.4207873803,0.0012420546,0,173,308,309,
12.9418411181,0.000847937,1,248,,,
7.8768995096,0.0009600056,1,248,,,
0.0816555377,0.0014488076,0,282,346,347,
3.5507244894,0.000807386,1,282,,,
0.3858408727,0.0011110094,0,303,408,409,
1.3609732643,0.000705625,1,303,,,
3.2486918264,0.0008555265,1,181,,,
4.0341611497,0.0008104427,1,181,,,
0.0078672729,0.0010672672,0,288,412,413,
1.9067560521,0.0015988253,0,288,324,325,
2.7662961408,0.0012977919,0,239,504,505,
5.743425005,0.0010681976,1,239,,,
3.8771316998,0.0008941951,1,116,,,
1.8863045358,0.0012657244,0,116,386,387,
7.3944561212,0.0007806839,1,280,,,
