Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
33.7658759359,0.009305139,0,0,2,3,511
40.6401011021,0.0037566482,0,1,10,11,
1.3383021685,0.008906996,0,1,4,5,
0.8781631795,0.0074091113,0,3,12,13,
0.0356259613,0.0059772616,0,3,6,7,
50.7340381039,0.0014646384,0,5,18,19,
72.3864720299,0.0059055565,0,5,8,9,
0.00000446,0.0000201,1,7,,,
13.6285342855,0.0059055549,0,7,24,25,
0.0000815,0.000042,1,2,,,
40.6423614555,0.0037566283,0,2,16,17,
0.3468421476,0.0056609893,0,4,22,23,
47.8196558479,0.0055685528,0,4,14,15,
0.0002435452,0.0000542,1,13,,,
17.728096907,0.0055685319,0,13,20,21,
1.6851070523,0.0023635314,0,11,118,119,
15.8496549185,0.0032309621,0,11,42,43,
0.0002001518,0.001464373,1,6,,,
44.8191923555,0.0000673,1,6,,,
52.3647008316,0.0047549651,0,15,36,37,
10.6845593439,0.0035575109,0,15,74,75,
8.6887647006,0.0044025775,0,12,30,31,
1.0264341614,0.0041732817,0,12,38,39,
0.1607649609,0.0046548725,0,9,28,29,
59.4522276156,0.0042847963,0,9,26,27,
0.3208624046,0.0030939171,0,25,34,35,
19.8834253159,0.0033904609,0,25,32,33,
53.8041120605,0.0031090787,0,24,52,53,
23.0222280777,0.00388265,0,24,78,79,
9.7173223383,0.0028520457,0,22,106,107,
0.2583618981,0.0037334473,0,22,40,41,
0.0017501451,0.0001,1,27,,,
20.2969845765,0.0033902584,0,27,58,59,
9.4736612426,0.0012561107,0,26,484,485,
7.1684202501,0.0029595984,0,26,82,83,
30.4468024667,0.0041980719,0,20,48,49,
30.9342435528,0.002806293,0,20,60,61,
1.0136159464,0.0023186736,0,23,54,55,
63.8738519588,0.0037588313,0,23,46,47,
0.5134111271,0.0033530038,0,31,108,109,
26.6063772554,0.002094083,0,31,44,45,
14.419095347,0.0022319122,0,17,136,137,
20.0836064929,0.0026398014,0,17,56,57,
35.387493603,0.0014376217,0,41,202,203,
0.0162832821,0.0017178368,0,41,220,221,
0.0000712,0.0000418,1,39,,,
19.7798103923,0.0037588117,0,39,50,51,
0.0011388548,0.0000882,1,36,,,
10.6895724738,0.0041979644,0,36,70,71,
27.4614028076,0.0031555498,0,47,68,69,
23.3183138017,0.0024818578,0,47,64,65,
0.0000974,0.0000481,1,28,,,
9.8942129833,0.0031090416,0,28,66,67,
32.8026948696,0.0016834501,0,38,62,63,
7.0733462711,0.0018266261,0,38,84,85,
22.7052203115,0.0019551103,0,43,72,73,
16.3924379576,0.0020445798,0,43,90,91,
1.427834943,0.0022822049,0,33,148,149,
23.2114945882,0.0028149657,0,33,86,87,
2.1617608461,0.0026830732,0,37,172,173,
27.7268095946,0.0011443386,1,37,,,
0.0015001968,0.0001000061,1,54,,,
7.9997257115,0.0016828708,0,54,204,205,
9.3279198438,0.0013047836,0,51,378,379,
1.6633088023,0.0022694749,0,51,122,123,
13.8463434677,0.0025851083,0,53,76,77,
9.6086134276,0.0020878992,0,53,190,191,
17.3425985444,0.0025167856,0,50,156,157,
0.0336779442,0.0022554159,0,50,196,197,
31.2911433334,0.0031396127,0,49,92,93,
0.5104032488,0.0032225016,0,49,120,121,
0.0000514,0.00005,1,56,,,
6.5626426958,0.0019550285,0,56,372,373,
33.5567300181,0.0025993678,0,21,80,81,
11.1801267915,0.0027878672,0,21,194,195,
18.0159727009,0.0010596803,1,66,,,
1.9780551228,0.0024700517,0,66,112,113,
10.1741981871,0.0033988415,0,29,126,127,
22.39439461,0.0023434488,0,29,96,97,
0.0100008693,0.0001554807,1,74,,,
0.0209774925,0.0025984578,0,74,98,99,
0.1187671262,0.0025123964,0,35,102,103,
0.01898268,0.001913339,0,35,258,259,
39.0329999285,0.0016520142,0,55,88,89,
28.8701102227,0.0010006631,1,55,,,
4.2428392615,0.002496215,0,59,116,117,
19.7860366633,0.0016410858,0,59,244,245,
0.0008996463,0.0000911,1,84,,,
1.0581028591,0.0016515425,0,84,432,433,
0.0010903457,0.0001028643,1,57,,,
9.4882794468,0.0020441154,0,57,154,155,
0.000065,0.0000471,1,70,,,
0.0701526985,0.0031395781,0,70,94,95,
9.4221888303,0.0030834837,0,93,110,111,
8.6621048019,0.0009005956,1,93,,,
0.0010577216,0.0000895,1,79,,,
0.1197311708,0.0023431816,0,79,174,175,
11.7420710417,0.0023998889,0,81,100,101,
21.8813947331,0.0013093406,0,81,284,285,
8.3690871075,0.0008750079,1,98,,,
0.3249077735,0.002320894,0,98,266,267,
28.7698601624,0.0020091004,0,82,140,141,
15.7419091395,0.0017894754,0,82,104,105,
5.3323275215,0.0010419675,0,103,260,261,
10.5530958959,0.0015875224,0,103,144,145,
0.0662941829,0.0024049923,0,30,138,139,
11.3479304844,0.0018676841,0,30,114,115,
0.9184452478,0.0016805241,0,40,214,215,
3.4162179511,0.0031003935,0,40,124,125,
15.2033893024,0.0027474106,0,94,166,167,
0.3066890975,0.0017727389,0,94,128,129,
13.3739519943,0.0020370661,0,77,254,255,
1.0682352797,0.0016814621,0,77,270,271,
30.0647710227,0.0013467812,0,107,132,133,
16.3572427654,0.0014794348,0,107,212,213,
11.4625095412,0.0020414521,0,86,142,143,
16.3422420067,0.0017218276,0,86,186,187,
1.5384286862,0.0015432831,0,16,238,239,
0.0748380988,0.0019961169,0,16,218,219,
8.5371363631,0.0021512832,0,71,276,277,
0.0777314419,0.0026886819,0,71,130,131,
0.6952375863,0.0021500229,0,65,288,289,
14.401111167,0.0009923731,1,65,,,
34.5779396861,0.0029448377,0,109,134,135,
1.3314185113,0.0013309897,0,109,224,225,
9.7750792639,0.0021629148,0,78,252,253,
0.8856851109,0.0029077245,0,78,150,151,
18.5219114271,0.0016387647,0,111,404,405,
7.3837649515,0.0008895439,1,111,,,
13.4471592106,0.0021213032,0,121,146,147,
18.4880449096,0.0019484779,0,121,152,153,
0.0003861294,0.0013461524,1,114,,,
19.0017975745,0.0000904,1,114,,,
0.0000745,0.0000424,1,124,,,
0.14390719,0.0029448084,0,124,160,161,
0.0003127713,0.0000694,1,42,,,
0.8686703484,0.0022317601,0,42,192,193,
0.7976928239,0.0012635278,0,106,188,189,
11.6455384645,0.0021995554,0,106,264,265,
21.2322238982,0.0017999325,0,102,280,281,
19.5897362417,0.001135822,1,102,,,
9.5585385535,0.001879349,0,116,178,179,
9.2549396906,0.0010436059,1,116,,,
1.6693615356,0.0007211296,1,105,,,
3.4724035119,0.0014952266,0,105,180,181,
0.1301022564,0.001802129,0,130,162,163,
2.1642682639,0.0013693438,0,130,344,345,
9.3878668157,0.0008964678,1,58,,,
12.4518201747,0.0021912222,0,58,216,217,
1.6328575386,0.0025558112,0,127,184,185,
25.8439072434,0.0017366274,0,127,234,235,
10.0000013388,0.0014149811,0,131,278,279,
4.3338406297,0.0015347173,0,131,164,165,
8.6174581424,0.0019367854,0,91,296,297,
4.8107391203,0.0008929991,1,91,,,
0.7993184398,0.001866336,0,68,158,159,
0.0315487542,0.0019471147,0,68,274,275,
0.0917400112,0.0016865283,0,156,300,301,
13.524086998,0.0010253782,1,156,,,
0.6706079167,0.0012046077,0,135,386,387,
3.3922510976,0.0028144493,0,135,168,169,
10.8704376958,0.0011933951,0,146,250,251,
26.9271217023,0.0015104575,0,146,206,207,
