Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
57.794453716,0.0088538366,0,0,2,3,511
0.0006090594,0.0000668,1,1,,,
21.7066627203,0.0088538191,0,1,4,5,
47.2167750342,0.0075820984,0,3,6,7,
15.8619050424,0.0056223911,0,3,14,15,
0.00000582,0.0000215,1,4,,,
17.211960988,0.0075820971,0,4,8,9,
33.91342087,0.0069083115,0,7,10,11,
0.3742897084,0.0040426117,0,7,34,35,
0.0231484281,0.0059865298,0,8,12,13,
34.9870994412,0.0042733629,0,8,18,19,
0.0402004053,0.0043683997,0,10,20,21,
0.101561161,0.0046965788,0,10,24,25,
31.4084534507,0.0013299944,0,5,22,23,
29.8685689881,0.0055606767,0,5,16,17,
0.0000726,0.000041,1,15,,,
10.1652071393,0.0055606664,0,15,28,29,
0.00000805,0.0000251,1,11,,,
7.382020238,0.0042733584,0,11,26,27,
10.9755366777,0.0029900975,0,12,44,45,
79.5229674796,0.0035902975,0,12,30,31,
0.0000142,0.0013299293,1,14,,,
25.9106613297,0.0000362,1,14,,,
0.007303865,0.0040326866,0,13,74,75,
25.2458382558,0.0029655772,0,13,32,33,
10.0000001799,0.0024746989,0,19,122,123,
0.9929502051,0.003798262,0,19,36,37,
16.2693625418,0.0048803727,0,17,38,39,
3.5591064614,0.0033340721,0,17,72,73,
0.00000433,0.0000232,1,21,,,
21.7611269277,0.0035902927,0,21,42,43,
0.000114564,0.0000492,1,25,,,
10.9642096533,0.0029655351,0,25,54,55,
6.4212946818,0.0028226082,0,9,40,41,
0.770096724,0.0032792938,0,9,46,47,
22.166890617,0.0031886459,0,27,48,49,
14.9443202601,0.0025079383,0,27,52,53,
9.7407259861,0.0046053482,0,28,68,69,
40.2573874225,0.00219062,0,28,62,63,
2.6751652593,0.0025481782,0,34,60,61,
16.5356350976,0.0015560016,0,34,114,115,
5.3212235568,0.0030537984,0,31,64,65,
0.3654371346,0.0023119953,0,31,176,177,
15.559848972,0.0023108626,0,20,104,105,
31.4822959198,0.0022199086,0,20,56,57,
24.3682971624,0.0026701308,0,35,50,51,
0.2254059916,0.0022770051,0,35,142,143,
0.470939589,0.0027722473,0,36,112,113,
8.4939867806,0.0019572869,0,36,238,239,
0.0002007769,0.0000567,1,46,,,
4.4495333689,0.0026700606,0,46,58,59,
0.0001369581,0.0000547,1,37,,,
3.2304128551,0.0025078679,0,37,82,83,
40.1809129526,0.0027279668,0,33,66,67,
7.2708115907,0.001521034,0,33,358,359,
0.0000409,0.0000432,1,45,,,
3.833554981,0.0022198617,0,45,80,81,
10.0007091925,0.0020530718,0,51,84,85,
10.7316697946,0.0019933217,0,51,94,95,
7.3199022023,0.0014905898,0,40,316,317,
1.5899908681,0.0022569425,0,40,136,137,
0.0002883815,0.0000715,1,39,,,
0.3858296853,0.0021904513,0,39,174,175,
16.9744317872,0.0020234961,0,42,76,77,
19.9094946499,0.0025586834,0,42,140,141,
0.0000427,0.0000451,1,54,,,
7.7880748055,0.0027279284,0,54,88,89,
6.9346042242,0.0024667958,0,38,116,117,
0.2167063863,0.0041910015,0,38,70,71,
14.0033343316,0.0030951888,0,69,86,87,
0.1391625902,0.0032541962,0,69,78,79,
18.1107927121,0.0018795468,0,29,96,97,
11.6462314997,0.002989627,0,29,92,93,
15.6138606008,0.0025498048,0,24,186,187,
0.7252778327,0.0034604728,0,24,98,99,
0.0024564262,0.0001390009,1,64,,,
0.5609637226,0.0020224947,0,64,258,259,
7.5580823902,0.0023805301,0,71,138,139,
48.4797033939,0.0025476609,0,71,124,125,
1.0014690015,0.0020024028,0,57,108,109,
3.7617258373,0.0012271389,0,57,372,373,
12.1608807626,0.0024677767,0,53,182,183,
3.2824495906,0.0006884759,1,53,,,
1.0776556818,0.0012701803,0,58,262,263,
0.6709784801,0.001779017,0,58,106,107,
0.0018066229,0.0000984,1,70,,,
2.2733780823,0.0030949655,0,70,90,91,
17.8040805431,0.0014188597,0,67,220,221,
2.0904586795,0.0025010874,0,67,196,197,
0.1142601403,0.0027703435,0,87,150,151,
3.1293273556,0.0017544873,0,87,184,185,
22.0708672446,0.0012664006,0,73,110,111,
3.2899486948,0.0028447472,0,73,100,101,
3.9083915639,0.0015338562,0,59,102,103,
0.5461847544,0.0014869073,0,59,278,279,
7.83072812,0.0015870076,0,72,338,339,
16.3200601339,0.0012277928,0,72,414,415,
1.1144841563,0.0022980893,0,75,146,147,
1.8881588131,0.0028958101,0,75,134,135,
23.3246163274,0.0019705706,0,93,126,127,
5.0651551051,0.0023199986,0,93,130,131,
19.4394784499,0.0011258412,1,94,,,
11.1411741942,0.001197398,0,94,482,483,
0.0005421922,0.0000749,1,44,,,
6.3451380053,0.0023106875,0,44,202,203,
8.5799227719,0.0015034845,0,85,384,385,
9.6287239363,0.0011601205,0,85,452,453,
0.0062099718,0.001821994,0,80,188,189,
13.6797243116,0.0010731173,1,80,,,
0.0006246552,0.0012653085,1,92,,,
11.5017485344,0.0001086214,1,92,,,
15.8557949436,0.0024361242,0,48,120,121,
1.8362212753,0.0016567955,0,48,164,165,
0.0000532,0.0000447,1,41,,,
0.7627863513,0.0015559145,0,41,240,241,
8.1379893218,0.0017508034,0,68,222,223,
8.8685122407,0.0019778162,0,68,118,119,
21.2456764236,0.0013503343,0,117,170,171,
1.6073228088,0.001628139,0,117,346,347,
3.1771711778,0.0023078313,0,112,172,173,
14.31415905,0.0010654655,1,112,,,
1.4100016622,0.0016685827,0,26,166,167,
3.7096744079,0.002052792,0,26,230,231,
0.00095018,0.0000973,1,79,,,
3.4617072143,0.0025473705,0,79,128,129,
0.0011057967,0.0000989,1,100,,,
11.8675894702,0.0019701258,0,100,226,227,
0.0862054858,0.0019017377,0,125,132,133,
11.6283597171,0.0019587232,0,125,156,157,
10.9544913788,0.0008702763,1,101,,,
0.6919618372,0.0022378519,0,101,206,207,
1.2059860979,0.0011236548,0,128,436,437,
2.5641691064,0.0016783068,0,128,274,275,
30.1071291203,0.0020203444,0,99,160,161,
15.2718046221,0.0023502663,0,99,144,145,
0.0641015859,0.0020966132,0,61,158,159,
12.0177088378,0.0011063667,0,61,468,469,
8.0133280534,0.0016922299,0,78,152,153,
7.3580467613,0.0019064359,0,78,192,193,
8.6557207516,0.0024680224,0,65,148,149,
7.1289353066,0.0009600712,1,65,,,
2.8143065407,0.001355187,0,47,276,277,
7.041482746,0.0020040743,0,47,180,181,
0.6812879437,0.00169521,0,135,300,301,
0.2499496219,0.0018613164,0,135,154,155,
3.8335703041,0.0020460071,0,98,178,179,
1.2264829788,0.0013243039,0,98,210,211,
10.2622765578,0.0018373474,0,140,214,215,
7.5649163786,0.0019026208,0,140,324,325,
0.9803517482,0.0023265787,0,90,168,169,
6.2912589988,0.0018279676,0,90,294,295,
0.0004330769,0.0000735,1,138,,,
0.7616460303,0.0016919642,0,138,200,201,
27.4500122226,0.0013240506,0,145,198,199,
1.418437601,0.0014898642,0,145,194,195,
3.16004951,0.0012282939,0,129,330,331,
20.937671062,0.0016871709,0,129,402,403,
22.9127308815,0.0017150666,0,136,216,217,
24.3490193068,0.0014456542,0,136,162,163,
0.0000453,0.0000432,1,134,,,
11.4387410324,0.0020202905,0,134,248,249,
0.0020637041,0.0001340147,1,159,,,
0.0080889788,0.00144414,0,159,318,319,
5.2472897189,0.0013599901,0,113,308,309,
9.9953866231,0.0011362753,0,113,486,487,
2.6237918159,0.0015665241,0,122,292,293,
5.4017130138,0.0007727741,1,122,,,
0.8510339949,0.0019198861,0,150,234,235,
5.035821832,0.0015822685,0,150,212,213,
0.0259953208,0.00133869,1,118,,,
11.7644082992,0.0002902427,1,118,,,
3.2295133457,0.0016695163,0,120,400,401,
2.2430510366,0.0018234216,0,120,224,225,
9.9808180844,0.0009774369,1,63,,,
8.4868697852,0.0020688977,0,63,376,377,
1.3420653408,0.0017554456,0,43,378,379,
24.5475984111,0.0017488746,0,43,298,299,
18.6677087622,0.0011996158,0,146,232,233,
9.9070487568,0.0018106711,0,146,208,209,
19.3906389954,0.0009581521,1,143,,,
11.4497734659,0.0018708019,0,143,190,191,
6.5888010557,0.0013576965,0,82,368,369,
5.0701906638,0.0022291311,0,82,204,205,
12.61335339,0.0009217332,1,91,,,
15.4534494681,0.0016046321,0,91,246,247,
10.4711179092,0.002377243,0,74,218,219,
13.202447976,0.0012271976,0,74,392,393,
5.9774594481,0.0008725307,1,108,,,
14.8328771496,0.0017003046,0,108,284,285,
1.4732638477,0.0011670903,0,181,470,471,
3.0142559847,0.0016151876,0,181,266,267,
7.2935021452,0.001780455,0,139,254,255,
11.6056920015,0.0009092879,1,139,,,
18.6325552508,0.0010027659,1,155,,,
7.9995114766,0.0012371656,0,155,490,491,
22.2942679674,0.001710838,0,89,264,265,
0.6610851594,0.0020564389,0,89,342,343,
0.0005329902,0.0013221579,1,154,,,
4.3653042354,0.0001389823,1,154,,,
11.8602678999,0.001625085,0,153,306,307,
2.7928299095,0.0006624215,1,153,,,
26.5355134067,0.0016540618,0,105,244,245,
7.6831605287,0.0018408135,0,105,242,243,
13.8476704407,0.0019003852,0,183,312,313,
0.7416467694,0.0014288257,0,183,464,465,
23.2967412563,0.0019669924,0,131,256,257,
1.527709257,0.0013365822,0,131,270,271,
15.3125330618,0.0009635595,1,179,,,
0.280265056,0.0016505926,0,179,228,229,
5.4245987904,0.0011546803,0,147,462,463,
9.6435634871,0.0008072693,1,147,,,
2.2468397886,0.0014533002,0,169,458,459,
6.7906725588,0.0008168351,1,169,,,
4.3078292569,0.0010010547,1,148,,,
1.4389428872,0.0016642814,0,148,332,333,
0.0000304,0.0000419,1,158,,,
1.9254597044,0.0017150027,0,158,260,261,
11.052030341,0.0022664488,0,186,268,269,
2.3307880856,0.0009919627,0,186,412,413,
0.0000453,0.001417754,1,88,,,
0.9801919797,0.0001168654,1,88,,,
4.6493121714,0.0011158777,0,116,348,349,
1.3109570339,0.0014967137,0,116,236,237,
4.7093879038,0.0008459261,1,173,,,
5.7445319754,0.0017113923,0,173,440,441,
0.0333910324,0.001246719,0,127,314,315,
3.8290905237,0.001689919,0,127,250,251,
17.7756428586,0.0012291984,0,209,320,321,
16.1846045833,0.0012720809,0,209,460,461,
11.5732498384,0.0019618268,0,123,326,327,
7.2676918074,0.0008400516,1,123,,,
0.0011646997,0.0011978306,1,178,,,
8.9426432439,0.0001279624,1,178,,,
20.9759196816,0.0017522654,0,168,280,281,
19.4144314181,0.0010169198,1,168,,,
2.7372595063,0.0006688279,1,223,,,
3.2234444342,0.0014133469,0,223,282,283,
2.3718353564,0.0006617423,1,49,,,
2.0141576421,0.0019041753,0,49,406,407,
0.5961688116,0.0014010909,0,115,480,481,
7.232048094,0.0008650946,1,115,,,
8.7715869473,0.0015339546,0,203,252,253,
12.4113597053,0.0012315708,0,203,272,273,
0.0014725911,0.000132509,1,202,,,
7.9062906012,0.0016528593,0,202,336,337,
0.3455333127,0.00135055,0,185,296,297,
12.9621951678,0.0010545293,1,185,,,
7.4516681512,0.0013388566,0,161,488,489,
11.6153059228,0.0016926127,0,161,288,289,
4.2236468385,0.0014995367,0,227,418,419,
5.81363909,0.0009833677,1,227,,,
3.758333064,0.0013254415,0,242,290,291,
6.087916399,0.0009551934,1,242,,,
18.9487570713,0.0013212951,0,192,302,303,
1.7185654789,0.0013765224,0,192,502,503,
0.0097027169,0.0001787173,1,206,,,
0.4929934725,0.0019650332,0,206,286,287,
5.9356392427,0.0009795895,1,77,,,
16.3347709716,0.0018833137,0,77,420,421,
9.9181469996,0.001671655,0,217,340,341,
0.9091529477,0.0005639108,1,217,,,
11.3344801732,0.0009684513,1,84,,,
11.9002952737,0.0009567285,1,84,,,
5.4644639084,0.0014416506,1,196,,,
14.9027484992,0.0011218384,1,196,,,
13.3165226467,0.0014230135,0,191,364,365,
13.2020406944,0.0009587222,1,191,,,
0.0212189891,0.0016930364,0,218,396,397,
9.542900442,0.0017417397,0,218,334,335,
12.8757258007,0.0009273153,1,207,,,
0.5256065059,0.0010888896,0,207,344,345,
0.0000516,0.0012310452,1,243,,,
2.9309238577,0.0000797,1,243,,,
1.0234571238,0.0014044537,0,133,356,357,
13.6806594766,0.0011145517,1,133,,,
0.2008029163,0.0011566485,0,142,310,311,
13.2881642939,0.0008666151,1,142,,,
7.7671834896,0.0008648618,1,95,,,
2.5672595527,0.0013195938,0,95,448,449,
0.0009866189,0.0001016132,1,234,,,
11.8718438209,0.0017516977,0,234,362,363,
4.4446306342,0.0007927142,1,237,,,
2.020934254,0.0012693393,0,237,328,329,
0.0070651406,0.0001939871,1,189,,,
4.9349453029,0.0016973104,0,189,304,305,
1.3699802926,0.0018001428,0,257,322,323,
10.3372963388,0.0010255313,1,257,,,
0.639453728,0.0013833617,0,249,446,447,
10.0347558042,0.001168669,1,249,,,
5.1950504256,0.0009929116,1,252,,,
4.7408252276,0.001015885,1,252,,,
0.43998703,0.0014252693,0,166,388,389,
6.6665619518,0.000839782,1,166,,,
5.3325425725,0.0015208555,0,151,360,361,
0.3182914682,0.0012262942,0,151,438,439,
12.3288422281,0.000999612,1,246,,,
10.2583418642,0.001046629,1,246,,,
0.0201690216,0.0002599789,1,177,,,
12.957512688,0.001742899,0,177,508,509,
15.4856752301,0.0015322146,0,144,390,391,
14.3034211421,0.0009306731,1,144,,,
0.0017479087,0.0013176328,1,254,,,
4.9433222417,0.0001806839,1,254,,,
17.0927942973,0.0010734133,1,285,,,
5.0448230928,0.0014563266,1,285,,,
6.5083595254,0.0013679349,0,200,472,473,
12.2208088938,0.0010677232,1,200,,,
13.6293933884,0.0010083866,1,164,,,
11.4940342421,0.0010522722,1,164,,,
10.9273441733,0.000922069,1,276,,,
16.8677662136,0.0008272327,1,276,,,
5.007371913,0.0016507746,0,204,432,433,
12.1504518369,0.001168941,1,204,,,
5.3721856622,0.0009715034,1,226,,,
6.7681580134,0.0009169897,1,226,,,
11.4849027564,0.0008781499,1,60,,,
1.5547193274,0.0013168704,0,60,408,409,
8.3149605421,0.0011201015,1,163,,,
10.065035278,0.0010678706,1,163,,,
0.0007898821,0.0012270322,1,228,,,
4.6239816686,0.000140279,1,228,,,
0.1172414936,0.0016565819,0,286,366,367,
6.3693137417,0.0009217407,1,286,,,
1.9966580901,0.0007849537,1,149,,,
12.6532510629,0.0018165169,0,149,434,435,
1.5584647684,0.0018254082,0,230,354,355,
8.2039443742,0.0009539573,1,230,,,
9.506396285,0.0009271572,1,283,,,
7.1668112773,0.0009950064,1,283,,,
2.7537221274,0.0009465103,1,156,,,
3.1554282245,0.0009148308,1,156,,,
9.7375972573,0.0012666832,1,215,,,
10.0776177522,0.0012558608,1,215,,,
6.2093020307,0.0008803894,1,269,,,
6.1154395276,0.0016075314,0,269,350,351,
8.4673286975,0.0011599772,1,245,,,
4.81184547,0.0013360052,1,245,,,
6.3440761096,0.0013622448,0,96,352,353,
13.4619403158,0.0010027692,1,96,,,
0.4138584582,0.0005316459,1,260,,,
9.9925626709,0.0016328404,0,260,428,429,
9.1948013147,0.0015140183,0,197,416,417,
0.4933307539,0.0016011339,0,197,496,497,
4.5667618652,0.000910931,1,271,,,
11.4747091767,0.0007235227,1,271,,,
2.4620223838,0.0012137148,0,119,430,431,
2.286467689,0.0012535989,0,119,398,399,
3.603529577,0.0008865364,1,222,,,
5.3906682446,0.0008016189,1,222,,,
0.001443569,0.0001174414,1,335,,,
10.1008242479,0.0016066033,0,335,474,475,
11.680347426,0.0010148861,1,338,,,
10.2156613746,0.0010494569,1,338,,,
5.1047039606,0.001232939,0,326,370,371,
0.1083203003,0.0015126224,0,326,426,427,
11.6223339256,0.0010415172,1,274,,,
9.8130380104,0.0010865229,1,274,,,
0.1018385606,0.0003027865,1,55,,,
10.5532138393,0.0015102193,0,55,444,445,
0.2370100639,0.0013280196,0,294,404,405,
9.4359701281,0.0009237123,1,294,,,
6.8487640911,0.0015882266,0,281,386,387,
4.4775023055,0.0009511047,1,281,,,
0.0006007262,0.0001005189,1,266,,,
1.1311054946,0.0014222583,0,266,492,493,
3.693217553,0.0014253114,0,322,374,375,
10.3235363886,0.0010414033,1,322,,,
9.5390747345,0.00101619,1,182,,,
8.6463937149,0.0010414603,1,182,,,
2.9944404576,0.0009763828,1,354,,,
4.3499012625,0.0008893632,1,354,,,
7.1443875361,0.0008582024,1,81,,,
3.9648562679,0.0009943152,1,81,,,
9.1656678816,0.0010900372,1,366,,,
9.8645893118,0.0010701942,1,366,,,
10.2043440078,0.0010431241,1,175,,,
1.223795937,0.001910545,0,175,422,423,
2.4524341945,0.0015755662,0,176,380,381,
11.1080176452,0.0009866421,1,176,,,
6.0559109764,0.0013807515,0,378,382,383,
8.5143614253,0.0009483129,1,378,,,
7.6481622199,0.0010761405,1,380,,,
9.6504323202,0.0010153635,1,380,,,
0.0021572266,0.0001244817,1,106,,,
12.3018280255,0.0015022975,0,106,394,395,
2.1597139253,0.0014227439,1,362,,,
13.5990543987,0.0008981494,1,362,,,
6.4823408757,0.00083897,1,292,,,
