Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
15.0335305891,0.0077168767,0,0,2,3,511
9.9999998916,0.0017290739,0,1,292,293,
18.8553565976,0.0076429917,0,1,4,5,
9.0842710964,0.0059492229,0,3,10,11,
0.0354927653,0.0056287358,0,3,6,7,
0.1510024085,0.0045179687,0,5,12,13,
8.3496631558,0.0039889845,0,5,8,9,
16.091542542,0.0033707798,0,7,14,15,
26.6814347607,0.0026018513,0,7,26,27,
18.4618846449,0.0050387136,0,4,16,17,
4.4848126448,0.0038634076,0,4,38,39,
0.2402801513,0.0039068831,0,6,30,31,
14.4297088443,0.0028083448,0,6,24,25,
0.00000802,0.0000239,1,8,,,
9.7926019865,0.0033707741,0,8,28,29,
0.0018949703,0.0000913,1,10,,,
9.6976567396,0.0050386244,0,10,18,19,
22.7676263644,0.0039998476,0,17,20,21,
16.2672572031,0.0036233529,0,17,46,47,
0.0005812622,0.0000716,1,18,,,
14.3744142099,0.003999779,0,18,22,23,
0.5356572505,0.002935366,0,21,48,49,
23.596388271,0.0031228177,0,21,40,41,
0.0000868,0.0000432,1,13,,,
0.8600048834,0.0028083118,0,13,62,63,
0.0000129,0.000029,1,9,,,
0.0551684541,0.0026018377,0,9,36,37,
22.6626950688,0.0019486186,0,15,32,33,
5.9378696955,0.0029978057,0,15,34,35,
32.4101104841,0.0022965199,0,12,52,53,
11.6895016297,0.003454351,0,12,54,55,
0.0015117145,0.0001075237,1,28,,,
6.5343902654,0.001948061,0,28,68,69,
9.4108376582,0.0018205574,0,29,102,103,
0.4056915627,0.0026178172,0,29,104,105,
0.5092670416,0.0017136033,0,27,66,67,
13.3878566412,0.0021872737,0,27,58,59,
0.0905083435,0.003169936,0,11,44,45,
5.9939434023,0.0026514145,0,11,92,93,
0.0000154,0.0000323,1,23,,,
3.6929617381,0.0031228042,0,23,42,43,
4.697402852,0.001370471,0,41,332,333,
0.8756337783,0.0029568768,0,41,74,75,
22.0549793724,0.0026635074,0,38,56,57,
2.1242546632,0.0020896999,0,38,126,127,
9.4181195818,0.0032577459,0,19,164,165,
6.0148807743,0.0020249756,0,19,94,95,
0.5170998582,0.0025344704,0,22,50,51,
2.8256922915,0.00183093,0,22,72,73,
8.3889535621,0.0016886171,0,48,86,87,
3.4462213578,0.002117017,0,48,128,129,
0.0016186324,0.0000979,1,30,,,
8.8532605908,0.0022961755,0,30,108,109,
17.7778791439,0.0012933566,0,31,76,77,
5.6861013878,0.0033326292,0,31,70,71,
