Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
94.6411543798,0.0083210111,0,0,2,3,511
0.0005462332,0.0000665,1,1,,,
10.028909252,0.0083209921,0,1,4,5,
2.002688975,0.0072350032,0,3,6,7,
26.6484618826,0.0051066096,0,3,12,13,
44.8237055391,0.0042619509,0,4,8,9,
31.1523610596,0.0063920244,0,4,10,11,
0.00000241,0.0000185,1,6,,,
0.233394274,0.0042619488,0,6,24,25,
0.00000431,0.0000204,1,7,,,
7.4214617475,0.0063920229,0,7,14,15,
0.0000146,0.0000278,1,5,,,
8.7751101797,0.0051066052,0,5,18,19,
5.3205329208,0.0046498265,0,11,22,23,
0.2394398704,0.0050276172,0,11,16,17,
1.733982222,0.0048529142,0,15,32,33,
25.4522519449,0.0018722037,0,15,48,49,
27.6815636657,0.0034854102,0,13,20,21,
16.2665165727,0.0042045697,0,13,34,35,
0.0000253,0.0000342,1,18,,,
0.0354595022,0.0034853969,0,18,26,27,
26.6014919516,0.0041724045,0,14,42,43,
37.4863792339,0.0026153488,0,14,30,31,
8.7574070286,0.0029149524,0,9,40,41,
13.3777648351,0.0035045398,0,9,28,29,
16.8398325298,0.0028374316,0,21,102,103,
5.9718360283,0.00242077,0,21,62,63,
0.30875881,0.0032456108,0,25,50,51,
5.9009130649,0.001743614,0,25,154,155,
0.0003931239,0.000075,1,23,,,
0.0186046259,0.0026152033,0,23,58,59,
0.2318867646,0.0039595162,0,16,44,45,
0.0485801004,0.00335936,0,16,36,37,
24.4472526794,0.0023265781,0,19,46,47,
4.8015855807,0.0037915865,0,19,38,39,
0.0365858397,0.0025171606,0,33,128,129,
8.5000159266,0.0025741978,0,33,90,91,
1.8076092803,0.0036209584,0,35,72,73,
11.8249904424,0.0015608823,0,35,110,111,
2.2268686939,0.0024554865,0,24,134,135,
0.2603537877,0.0019125999,0,24,86,87,
0.0000957,0.0000466,1,22,,,
11.3265892773,0.0041723825,0,22,52,53,
11.9425935211,0.0031979112,0,32,54,55,
0.4553843139,0.0027819536,0,32,56,57,
0.0000166,0.0000337,1,34,,,
0.819358546,0.0023265546,0,34,196,197,
0.0000332,0.000041,1,17,,,
0.3360573956,0.0018721507,0,17,126,127,
11.7236729456,0.0027449224,0,28,92,93,
15.069636467,0.0021135667,0,28,106,107,
19.1800563118,0.002856992,0,43,96,97,
6.5334293963,0.0034283853,0,43,68,69,
1.7140291186,0.0029256952,0,44,64,65,
20.6864383329,0.0016779181,0,44,82,83,
0.1911769803,0.001906601,0,45,94,95,
17.1594643585,0.0022846036,0,45,80,81,
2.1378153003,0.0014001788,0,31,88,89,
7.1736505135,0.0023801919,0,31,60,61,
0.4212959875,0.0022843012,0,59,66,67,
7.9291711371,0.0009387727,1,59,,,
0.0050796915,0.0001326347,1,27,,,
0.2595450042,0.0024200894,0,27,84,85,
10.9294201715,0.0022612255,0,54,124,125,
11.7330392948,0.0021719511,0,54,76,77,
2.9320898656,0.0013708991,0,60,440,441,
0.5313597618,0.0020041187,0,60,260,261,
13.7762616566,0.0027208962,0,53,74,75,
12.4039504881,0.0024661975,0,53,70,71,
10.1430044868,0.0023888424,0,69,120,121,
8.8247952693,0.0008824191,1,69,,,
5.6481686007,0.0007289477,1,38,,,
0.9807382124,0.0035944763,0,38,78,79,
5.8312474536,0.0021600265,0,68,162,163,
2.1381526735,0.0019565485,0,68,114,115,
0.0014121488,0.0000969,1,65,,,
3.8505114401,0.0021715861,0,65,198,199,
12.3712290459,0.0033245808,0,73,98,99,
0.6210104472,0.0017992746,0,73,108,109,
0.0015125485,0.0000973,1,57,,,
4.6794040854,0.0022842617,0,57,100,101,
0.0000907,0.0000577,1,55,,,
6.5511514754,0.0016777708,0,55,146,147,
4.7465734239,0.0021536219,0,63,118,119,
3.5580336652,0.0013965314,0,63,258,259,
0.9951386614,0.0014009602,0,41,156,157,
0.1371998743,0.0014956776,0,41,222,223,
2.258772457,0.0011590117,0,58,468,469,
8.6815374468,0.0009474135,1,58,,,
0.783142682,0.0021271807,0,37,176,177,
5.2771773161,0.0017467028,0,37,262,263,
0.0030620486,0.0001207169,1,50,,,
1.8317919502,0.002744477,0,50,112,113,
9.7873662134,0.0015566055,0,56,174,175,
16.5613503864,0.0013185352,0,56,132,133,
0.0042515281,0.0001305644,1,52,,,
0.2705005147,0.0028564817,0,52,142,143,
3.9265301172,0.0029917358,0,78,116,117,
14.061077633,0.0018526502,0,78,184,185,
10.3232580053,0.0021334708,0,81,234,235,
1.6030168598,0.0010890628,0,81,298,299,
0.0089368656,0.000156591,1,26,,,
2.2699717835,0.0028366194,0,26,104,105,
15.243901148,0.002704896,0,103,130,131,
4.5538361626,0.0011819865,0,103,194,195,
0.0004335994,0.0000794,1,51,,,
3.1388205868,0.0021133356,0,51,202,203,
1.5450788335,0.0014078305,0,79,122,123,
0.7531972906,0.0013170954,0,79,218,219,
0.0013245348,0.0001017196,1,39,,,
3.4977829194,0.0015602052,0,39,170,171,
4.623868649,0.0022109586,0,93,158,159,
6.0962103846,0.0019351672,0,93,148,149,
15.1237830143,0.0017009332,0,75,300,301,
2.1118017943,0.00120118,0,75,246,247,
6.8761372139,0.0025409614,0,98,140,141,
0.4045843697,0.0019321818,0,98,182,183,
5.2515968339,0.0018602606,0,84,172,173,
3.509487703,0.001342066,0,84,344,345,
11.5586908311,0.0020693544,0,70,208,209,
1.5387962314,0.0014789274,0,70,232,233,
11.7271695138,0.0008948802,1,108,,,
0.2189467191,0.001205058,0,108,180,181,
10.0000416072,0.0015598892,0,64,228,229,
7.8402012167,0.0018491557,0,64,178,179,
1.3110114245,0.001752121,0,49,278,279,
7.0812550011,0.0008827338,1,49,,,
16.7851425385,0.0016542147,0,36,220,221,
9.2871253661,0.002118592,0,36,136,137,
0.002264803,0.0001190494,1,104,,,
2.1759331552,0.0027044563,0,104,138,139,
0.1039635482,0.0003458665,1,95,,,
1.0533512257,0.0012997486,0,95,366,367,
12.1063971191,0.0021086696,0,40,166,167,
0.586589039,0.0015500287,0,40,150,151,
3.2930188211,0.001378506,0,129,394,395,
0.4002413093,0.0017925324,0,129,188,189,
36.4758120551,0.0021711197,0,131,144,145,
0.6588029584,0.0019161693,0,131,204,205,
8.7881876594,0.0022617917,0,116,160,161,
0.8299481146,0.0014651189,0,116,230,231,
2.9417526406,0.001812748,0,97,164,165,
18.3153659164,0.0024469479,0,97,152,153,
0.0021906209,0.0001502192,1,138,,,
8.5755224159,0.0021700257,0,138,338,339,
2.201926754,0.0015677326,0,83,438,439,
1.9730106113,0.000797939,1,83,,,
10.0000038852,0.0015412009,0,113,284,285,
2.3811795478,0.0013857851,0,113,186,187,
0.1418177098,0.0013969868,0,135,388,389,
9.2750423187,0.0008593501,1,135,,,
0.0260774182,0.0002261178,1,143,,,
4.6807646543,0.0024444052,0,143,212,213,
5.7296237491,0.0015664564,0,29,276,277,
13.2996227402,0.0009769369,1,29,,,
6.7022743325,0.0012073796,0,86,240,241,
10.2197757802,0.0008774874,1,86,,,
4.8369322764,0.0010654372,0,112,416,417,
7.0480640406,0.0020608375,0,112,226,227,
9.7868568567,0.0021600401,0,140,216,217,
8.7847193244,0.0009309948,1,140,,,
5.4020375455,0.000798553,1,74,,,
12.9595167462,0.0020863515,0,74,200,201,
6.2149607444,0.0008281813,1,142,,,
1.5245779895,0.0017057611,0,142,210,211,
0.0021884354,0.0001149937,1,134,,,
3.4101495164,0.0021080837,0,134,168,169,
2.2558611645,0.0016830392,0,167,294,295,
7.0183192894,0.0015047535,0,167,192,193,
6.4135177697,0.0008819307,1,111,,,
9.5003672465,0.0013978288,0,111,500,501,
13.5810241296,0.001608928,0,118,270,271,
4.7916742076,0.0011558681,0,118,336,337,
0.0009264865,0.0000881,1,94,,,
