Y,Z,total
0.00E+000,0.00E+000,167
1.00E-001,0.00E+000,
2.00E-001,0.00E+000,
3.00E-001,0.00E+000,
4.00E-001,0.00E+000,
5.00E-001,0.00E+000,
6.00E-001,0.00E+000,
7.00E-001,0.00E+000,
8.00E-001,0.00E+000,
1.00E+000,0.00E+000,
1.10E+000,0.00E+000,
1.20E+000,0.00E+000,
1.30E+000,0.00E+000,
1.40E+000,0.00E+000,
1.50E+000,0.00E+000,
1.60E+000,0.00E+000,
1.70E+000,0.00E+000,
1.80E+000,0.00E+000,
0.00E+000,5.00E-001,
1.00E-001,5.00E-001,
2.00E-001,5.00E-001,
3.00E-001,5.00E-001,
4.00E-001,5.00E-001,
5.00E-001,5.00E-001,
6.00E-001,5.00E-001,
7.00E-001,5.00E-001,
8.00E-001,5.00E-001,
1.00E+000,5.00E-001,
1.10E+000,5.00E-001,
1.20E+000,5.00E-001,
1.30E+000,5.00E-001,
1.40E+000,5.00E-001,
1.50E+000,5.00E-001,
1.60E+000,5.00E-001,
1.70E+000,5.00E-001,
1.80E+000,5.00E-001,
0.00E+000,1.00E+000,
1.00E-001,1.00E+000,
2.00E-001,1.00E+000,
3.00E-001,1.00E+000,
4.00E-001,1.00E+000,
5.00E-001,1.00E+000,
6.00E-001,1.00E+000,
7.00E-001,1.00E+000,
8.00E-001,1.00E+000,
1.00E+000,1.00E+000,
1.10E+000,1.00E+000,
1.20E+000,1.00E+000,
1.30E+000,1.00E+000,
1.40E+000,1.00E+000,
1.50E+000,1.00E+000,
1.60E+000,1.00E+000,
1.70E+000,1.00E+000,
1.80E+000,1.00E+000,
0.00E+000,1.50E+000,
1.00E-001,1.50E+000,
2.00E-001,1.50E+000,
3.00E-001,1.50E+000,
4.00E-001,1.50E+000,
5.00E-001,1.50E+000,
6.00E-001,1.50E+000,
7.00E-001,1.50E+000,
8.00E-001,1.50E+000,
1.00E+000,1.50E+000,
1.10E+000,1.50E+000,
1.20E+000,1.50E+000,
1.30E+000,1.50E+000,
1.40E+000,1.50E+000,
1.50E+000,1.50E+000,
1.60E+000,1.50E+000,
1.70E+000,1.50E+000,
1.80E+000,1.50E+000,
0.00E+000,2.00E+000,
1.00E-001,2.00E+000,
2.00E-001,2.00E+000,
3.00E-001,2.00E+000,
4.00E-001,2.00E+000,
5.00E-001,2.00E+000,
6.00E-001,2.00E+000,
7.00E-001,2.00E+000,
8.00E-001,2.00E+000,
9.00E-001,2.00E+000,
1.00E+000,2.00E+000,
1.10E+000,2.00E+000,
1.20E+000,2.00E+000,
1.30E+000,2.00E+000,
1.40E+000,2.00E+000,
1.50E+000,2.00E+000,
1.60E+000,2.00E+000,
1.70E+000,2.00E+000,
1.80E+000,2.00E+000,
0.00E+000,2.10E+000,
1.00E-001,2.10E+000,
2.00E-001,2.10E+000,
3.00E-001,2.10E+000,
4.00E-001,2.10E+000,
5.00E-001,2.10E+000,
6.00E-001,2.10E+000,
7.00E-001,2.10E+000,
8.00E-001,2.10E+000,
9.00E-001,2.10E+000,
1.00E+000,2.10E+000,
1.10E+000,2.10E+000,
1.20E+000,2.10E+000,
1.30E+000,2.10E+000,
1.40E+000,2.10E+000,
1.50E+000,2.10E+000,
1.60E+000,2.10E+000,
1.70E+000,2.10E+000,
1.80E+000,2.10E+000,
0.00E+000,2.20E+000,
1.00E-001,2.20E+000,
2.00E-001,2.20E+000,
3.00E-001,2.20E+000,
4.00E-001,2.20E+000,
5.00E-001,2.20E+000,
6.00E-001,2.20E+000,
7.00E-001,2.20E+000,
8.00E-001,2.20E+000,
9.00E-001,2.20E+000,
1.00E+000,2.20E+000,
1.10E+000,2.20E+000,
1.20E+000,2.20E+000,
1.30E+000,2.20E+000,
1.40E+000,2.20E+000,
1.50E+000,2.20E+000,
1.60E+000,2.20E+000,
1.70E+000,2.20E+000,
1.80E+000,2.20E+000,
0.00E+000,2.30E+000,
1.00E-001,2.30E+000,
2.00E-001,2.30E+000,
3.00E-001,2.30E+000,
4.00E-001,2.30E+000,
5.00E-001,2.30E+000,
6.00E-001,2.30E+000,
7.00E-001,2.30E+000,
8.00E-001,2.30E+000,
9.00E-001,2.30E+000,
1.00E+000,2.30E+000,
1.10E+000,2.30E+000,
1.20E+000,2.30E+000,
1.30E+000,2.30E+000,
1.40E+000,2.30E+000,
1.50E+000,2.30E+000,
1.60E+000,2.30E+000,
1.70E+000,2.30E+000,
1.80E+000,2.30E+000,
0.00E+000,2.40E+000,
1.00E-001,2.40E+000,
2.00E-001,2.40E+000,
3.00E-001,2.40E+000,
4.00E-001,2.40E+000,
5.00E-001,2.40E+000,
6.00E-001,2.40E+000,
7.00E-001,2.40E+000,
8.00E-001,2.40E+000,
9.00E-001,2.40E+000,
1.00E+000,2.40E+000,
1.10E+000,2.40E+000,
1.20E+000,2.40E+000,
1.30E+000,2.40E+000,
1.40E+000,2.40E+000,
1.50E+000,2.40E+000,
1.60E+000,2.40E+000,
1.70E+000,2.40E+000,
1.80E+000,2.40E+000,
